,level_0,index,Date,Close,Open,High,Low,Vol,Fluctuations,RSI,SMA_5,SMA_20,EMA,MACD,signal,Stochastic RSI_fastk,Stochastic RSI_fastd,Stochastic Oscillator Index_slowk,Stochastic Oscillator Index_slowd,WilliamR,Momentum,ROC,sent_index
1629,1698,231,2022-09-07,3980.0,3907.5,3988.75,3883.5,1960000,1.78%,43.51820551251769,3933.1,4109.0125,3985.311512126857,-45.80557219778893,-12.52967310715842,0.0,7.515213549248043,24.945442955202537,24.990497930169322,-92.89940828402368,-114.5,-5.815004519433565,1.0
1630,1699,230,2022-09-08,4005.5,3980.0,4011.5,3942.75,2360000,0.64%,47.085492334379005,3935.6,4097.05,3984.3457826492468,-44.11131714657995,-18.846001915042727,100.0,36.11644955535299,41.65232515462659,30.20764826843897,-71.08614232209737,-125.0,-5.198594652533794,1.0
1631,1700,229,2022-09-09,4067.25,4010.25,4077.25,4005.75,1680000,1.54%,48.48970916609505,3951.9,4083.7125,3989.055640349384,-39.86811085692534,-23.05042370341925,100.0,66.66666666666657,52.82984594991975,39.80920468658295,-62.02247191011236,-127.25,-0.3416998011928407,1.0
1632,1701,228,2022-09-12,4110.75,4077.25,4119.75,4062.25,1720000,1.07%,51.44221627359734,3980.8,4072.85,4005.090978467678,-30.744594694296666,-24.58925790159473,100.0,99.9999999999999,74.27352061643052,56.25189724032561,-41.947565543071164,-42.5,1.0283094839868667,1.0
1633,1702,227,2022-09-13,3931.25,4118.25,4158.0,3919.75,1420000,-4.37%,53.14245079773703,4018.65,4063.3,4025.665346019009,-19.97551969856977,-23.66651026098974,100.0,99.9999999999999,77.64968751078389,68.25101802571139,-29.662921348314608,21.25,3.285472443413373,0.6666666666666667
1634,1703,226,2022-09-14,3947.5,3936.75,3962.75,3911.25,662600,0.41%,45.798682176123805,4024.5,4046.1625,4009.4989194700984,-25.789201457489526,-24.091048500289695,0.0,66.66666666666657,59.28801806606708,70.40374206442716,-80.60109289617486,-213.5,-0.5368873168266841,0.33333333333333337
1635,1704,225,2022-09-15,3902.0,3955.0,3959.5,3888.0,438920,-1.15%,46.5667481183289,4019.5,4029.5625,3999.5900250209897,-28.59434583889424,-24.991707968010605,10.75002388658722,36.91667462886231,40.22276233414468,59.05348930366521,-73.95264116575592,-197.0,-0.3150598613736566,0.0
1636,1705,224,2022-09-16,3871.24,3888.5,3888.5,3846.0,44590,-0.79%,44.20547224407066,3995.15,4012.9375,3979.391838653537,-35.77109034467958,-27.1475844433444,0.0,3.5833412955289767,16.256985397056265,38.589255265756,-86.37820512820512,-261.25,-1.024498886414249,-0.33333333333333326
1637,1706,223,2022-09-19,3917.25,3889.5,3927.0,3846.25,2100000,1.19%,44.249448838627394,3957.6,4000.0625,3963.0478679892576,-40.90647603616753,-29.899362761909025,0.5464640692602906,3.765495985282407,17.459639126305742,24.646462285835558,-86.0576923076923,-259.0,-1.0997393681266288,-0.6666666666666665
1638,1707,222,2022-09-20,3872.75,3923.0,3936.25,3843.25,2360000,-1.14%,45.73177465727589,3918.55,3989.8,3955.7664374457563,-41.79139102481304,-32.27776841448983,79.48156504370488,26.676009704321626,31.433501412580856,21.716708645314284,-74.66243050039714,-205.75,-0.15271061338762992,-1.0
