,Date,Price,Open,High,Low,Vol,Fluctuations,RSI,SMA_5,SMA_20,EMA,MACD,signal,Stochastic RSI_fastk,Stochastic RSI_fastd,Stochastic Oscillator Index_slowk,Stochastic Oscillator Index_slowd,WilliamR,Momentum,ROC,sent_index
281,2017-02-14,20504.41,20374.22,20504.41,20374.02,356580000,0.45%,69.16887807014254,20207.001999999957,20002.563999999984,20146.687654940924,125.26433833055489,96.40969467797959,100.0,100.0,73.25999958746058,64.95237112187696,-18.090989939413983,541.0500000000029,2.3153532638717333,0.5
282,2017-02-15,20611.86,20504.27,20620.45,20496.03,384380000,0.52%,71.24369417770384,20297.997999999956,20036.640999999985,20211.702626769846,146.528718228863,106.43349938815626,100.0,100.0,76.14362057574397,70.54253161759284,-13.902450698832117,631.4099999999999,2.9133985919359784,0.5416666666666665
283,2017-02-16,20619.77,20627.31,20639.87,20556.83,354120000,0.04%,73.0206667230823,20411.113999999954,20077.328999999987,20287.267603720782,171.33415868219527,119.41363124696406,100.0,100.0,83.23334967917266,77.54565661412572,-1.4688340544962804,736.3700000000026,3.872277340402075,0.5833333333333333
284,2017-02-17,20624.05,20564.13,20624.05,20532.61,340620000,0.02%,70.69994402403064,20481.693999999956,20115.782499999987,20337.606221226095,183.77609455096535,132.2861239077643,34.09326229808191,78.03108743269398,84.14021343199244,81.172394562303,-8.857443573850787,639.5699999999997,3.004977407069953,0.625
285,2017-02-21,20743.0,20663.43,20757.64,20663.37,336880000,0.58%,72.13959673121624,20546.671999999955,20159.214499999987,20396.846908275897,199.3511030572554,145.69911973766253,60.604547229595404,64.89926984255911,82.88548046811444,83.41968119309315,-10.16782688467964,756.4700000000012,3.1850215798669756,0.6666666666666665
286,2017-02-22,20775.6,20715.41,20781.59,20692.39,310530000,0.16%,72.86167230488093,20614.909999999956,20205.250999999986,20454.76747040755,213.4284903136686,159.24499385286373,72.73831140011819,55.81204030926517,76.1225176655686,81.04940385522514,-6.962651236191508,784.0,3.022684932378872,0.7083333333333333
287,2017-02-23,20810.32,20817.21,20840.7,20746.41,302110000,0.17%,74.21557503976986,20677.497999999956,20246.38749999999,20520.666112151634,230.1463465366287,173.42526438961673,100.0,77.78095287657119,81.54731108137246,80.18510307168515,-2.680007758217613,940.8600000000006,3.830160569277008,0.75
288,2017-02-24,20821.76,20751.91,20821.76,20733.95,292540000,0.05%,71.8374008889228,20702.417999999958,20280.170499999986,20562.71045539679,235.412514841948,185.822714480083,11.846008690924943,61.52810669701438,80.12686298598005,79.26556391097368,-10.596856389263618,864.5299999999988,3.440281570931325,0.7916666666666665
289,2017-02-27,20837.44,20808.71,20851.33,20774.76,256540000,0.08%,72.62668684359606,20751.333999999955,20315.437999999987,20607.437645324648,241.3867206100258,196.93551570607156,27.304033267564247,46.3833473194964,80.29368883131762,80.6559542995567,-5.0980861244022275,882.5,2.9561783226453864,0.8333333333333333
290,2017-02-28,20812.24,20833.88,20841.24,20781.21,339210000,-0.12%,72.9739055133692,20785.42399999996,20355.70099999999,20648.60898253835,245.3243835837602,206.6132892816093,39.28927128712576,26.146437748538318,79.17549206067059,79.86534795932273,-2.0873205741627667,921.3400000000001,2.435474719424313,0.875
291,2017-03-01,21115.55,20957.29,21169.11,20957.29,392820000,1.46%,74.60759647999129,20833.79999999996,20407.90749999999,20704.732803895015,255.4584000608047,216.38231143744838,93.5173120507378,53.37020553514261,72.55654268270159,77.34190785822993,-19.12803193122501,1108.4700000000012,2.8618028076657698,0.9166666666666665
292,2017-03-02,21002.97,21128.91,21129.2,20996.61,319910000,-0.53%,76.63909746181328,20896.139999999963,20468.162499999988,20781.85593045956,274.17743405209694,227.9413359603781,100.0,77.60219444595452,77.03556128598503,76.25586534311905,-4.168610981490189,1306.1800000000003,3.0463898495288966,0.9583333333333333
293,2017-03-03,21005.71,21008.75,21039.96,20953.86,254420000,0.01%,72.44136158630798,20947.50799999996,20525.682999999986,20823.10939764873,276.1334016059336,237.5797490894892,0.0,64.50577068357927,67.14042840289282,72.24417745719313,-18.951498534556183,1195.2000000000007,1.8491989503236272,1.0
294,2017-03-06,20954.34,20955.71,20986.43,20912.11,266620000,-0.24%,70.67373857923803,20976.90799999996,20575.257999999987,20847.218598076233,270.28792431499824,244.121384134591,0.0,33.333333333333336,65.02781840857233,69.73460269915005,-26.839728835729467,1160.6499999999978,1.9041894794479486,0.8
295,2017-03-07,20924.76,20934.89,20970.54,20901.26,274630000,-0.14%,69.98034536198502,20997.10999999996,20620.721999999987,20863.158852971465,260.96707544814126,247.49052239730105,0.0,4.736951571734001e-15,38.95899049069869,57.0424124340546,-34.798240922327295,1140.0999999999985,1.313721874829099,0.6
296,2017-03-08,20855.73,20940.44,20951.44,20835.58,296780000,-0.33%,70.0613461617568,20993.73999999996,20662.36299999999,20877.209970613018,251.13316735646367,248.21905138913357,1.2540336859166565,0.41801122863889023,31.084727334644693,45.02384541130522,-35.926158680283095,1145.7599999999984,1.086292764661656,0.3999999999999999
