,CNN,RNN,LSTM,BiLSTM,ATFN
231,34492.848,34987.195,34553.223,34525.08,34360.92
232,34476.77,34557.043,34454.27,34261.78,34022.2
233,34043.07,33851.72,34156.027,34027.156,33689.543
234,34006.504,33478.848,33910.727,33869.406,33548.766
235,34358.42,33852.938,33811.69,33862.625,33709.594
236,34121.836,33989.4,33922.383,33890.984,33704.656
237,33935.97,33743.54,34135.293,34115.414,33939.805
238,33999.984,33938.133,34287.914,34307.016,34287.28
239,34176.406,34245.496,34351.03,34331.125,34355.047
240,34231.492,34500.14,34355.97,34354.33,34325.094
241,34355.156,34442.883,34344.68,34293.27,34237.098
242,34529.04,34395.516,34463.29,34489.934,34358.766
243,34571.617,34611.18,34598.887,34566.82,34402.324
244,34440.984,34699.918,34543.656,34359.4,34449.38
245,34073.14,34624.016,34458.016,34303.54,34298.42
246,33881.39,34072.883,34340.72,34258.195,34274.32
247,34058.98,34183.117,34419.75,34448.67,34434.113
248,34160.33,34193.895,34656.734,34565.906,34302.594
249,34025.5,34048.54,34521.945,34327.812,34257.285
250,33938.78,34373.32,34459.055,34434.652,34497.695
251,34671.547,34646.625,34569.445,34612.83,34497.42
252,34625.562,34542.586,34632.152,34540.46,34322.29
253,34318.652,34389.375,34668.367,34528.742,34220.4
254,34011.152,34068.82,34391.008,34318.54,34188.906
255,34252.188,34325.57,34154.387,34133.387,33884.53
256,33957.438,33975.516,33979.1,33920.207,33437.094
257,33898.15,33864.453,33776.18,33681.438,33329.473
258,33532.594,33885.527,33566.727,33507.453,33437.734
259,33701.082,34291.723,33400.34,33399.46,33359.195
260,33572.223,34227.156,33334.07,33240.062,32993.883
261,33399.33,34005.297,33190.164,33130.97,33157.25
262,33503.27,33918.0,33291.04,33374.08,33388.523
263,33550.84,33928.47,33569.184,33615.836,33619.105
264,33423.14,34299.33,33841.984,33847.75,33895.92
265,33589.28,34205.438,33997.266,33949.402,33709.316
266,33151.805,33911.64,33787.137,33801.75,33396.0
267,33639.676,34174.83,33539.793,33565.09,33190.445
268,33333.69,33679.406,33301.797,33240.344,32653.482
269,33074.848,33180.156,33057.79,32870.75,32311.613
270,33144.07,33252.953,32927.418,32864.234,32391.717
271,32785.43,33179.617,32747.484,32650.8,32273.95
272,32686.96,33059.805,32748.19,32735.238,32622.465
273,32744.184,33416.652,32840.17,32726.453,32636.656
274,32648.133,33244.734,32772.574,32665.84,32562.234
275,32806.91,33360.688,32907.28,32901.473,32738.123
276,32176.457,33130.414,32990.434,33111.84,32775.484
277,32614.834,33336.816,32946.977,32954.617,32640.945
278,32657.61,33460.52,32933.32,32945.516,32534.375
279,33178.543,33385.566,33029.64,33059.195,32803.047
280,33224.727,33608.137,33209.03,33282.93,32834.797
281,33241.42,33947.77,33398.812,33378.55,32946.426
282,33261.99,34046.58,33484.61,33460.89,33157.64
283,33180.926,33947.867,33482.137,33531.477,33396.582
284,33186.586,34097.996,33560.91,33666.945,33715.227
285,33194.49,34338.15,33733.62,33752.598,33690.57
286,33235.46,34130.992,33874.33,33787.37,33655.383
287,33215.535,34110.09,33923.29,33858.844,33739.48
288,33299.918,34184.727,33893.12,33832.695,33811.06
289,33632.164,34413.25,34007.895,33986.707,34046.758
290,33673.953,34356.625,34245.727,34191.695,34047.523
291,33631.383,33937.39,34324.23,34177.035,34082.305
292,33552.508,34428.406,34398.72,34334.32,34288.547
293,33925.562,34393.08,34422.105,34400.812,34235.473
294,34137.914,34318.96,34446.11,34432.46,34226.066
295,34124.625,34529.14,34377.5,34316.664,34231.914
296,34128.387,34420.973,34284.32,34133.188,34165.336
297,34330.18,34233.555,34253.734,34135.86,34162.773
298,34339.18,34173.62,34237.484,34148.38,34169.836
299,34128.11,34219.97,34281.836,34142.953,33981.52
300,33847.51,34183.25,34123.78,33944.473,33734.86
301,33805.855,33977.117,33866.438,33773.254,33768.56
302,33729.105,33944.5,34008.875,34011.23,34072.82
303,34003.836,34126.65,34290.863,34293.305,34700.92
304,33761.555,34434.11,34523.78,34369.043,34336.79
305,34073.266,34385.434,34459.945,34277.844,34127.805
306,33959.703,34130.92,34133.15,34033.887,33733.773
307,34096.094,33953.984,33910.875,33825.5,33858.348
308,34285.07,34116.785,34027.188,33937.617,33952.758
309,34309.246,34225.523,34169.367,34012.86,33970.535
310,34119.883,34513.477,34311.1,34110.594,33939.32
311,34070.17,34123.11,34183.824,33979.28,33694.508
312,33785.98,34105.723,33901.848,33786.312,33811.047
313,33881.83,34114.195,33716.55,33701.133,33670.582
314,33994.125,34300.516,33650.406,33545.38,33335.7
315,33555.008,33850.188,33546.484,33458.902,33096.727
316,33484.383,33599.367,33691.19,33785.195,33834.117
317,33585.2,34080.992,33970.008,34039.883,34154.914
318,33470.938,34328.266,34078.953,34040.426,33902.945
319,33756.117,34161.58,33978.55,33926.586,33613.98
320,33831.566,33938.676,33718.82,33764.234,33345.5
321,33694.316,33557.53,33511.57,33529.85,33134.22
322,33532.473,33559.082,33409.953,33331.023,33216.93
323,33851.152,33820.945,33588.508,33578.04,33379.426
324,33318.293,33381.164,33670.07,33443.543,33222.438
325,33240.01,33400.906,33664.984,33487.516,33608.598
326,33284.934,33793.414,33750.945,33782.742,33952.066
327,33611.227,34522.297,33930.656,33987.74,34094.57
328,33838.504,34503.18,34117.18,34021.523,33954.55
329,33721.73,34617.27,34204.54,34064.234,33912.805
330,33827.305,34486.992,34188.61,34162.4,34068.227
331,33801.055,34449.82,34270.32,34269.07,34234.523
332,33683.08,34351.97,34463.71,34447.29,34292.5
333,33978.742,34607.695,34578.79,34489.85,34515.723
334,34184.28,34705.062,34602.203,34468.484,34312.14
335,34454.516,34497.234,34512.29,34344.758,34509.527
336,34079.03,34297.094,34692.863,34565.023,34674.797
